timestamp,a_party,b_party,duration,service_type,bytes_up,bytes_down,cell_tower_id,lac,location,session_id,imei,protocol,status
2025-07-31 20:29:10,9199461803,117.157.175.10,15,VOICE,120733,119545,TOWER_048,4428,"Lambchester, Rhode Island",SID_00000001,847020945952380,RTP,COMPLETED
2025-08-14 10:24:30,9199674933,9199529528,1785,DATA,57964126,579641265,TOWER_020,4717,"Lucasmouth, New Hampshire",SID_00000002,,HTTPS,COMPLETED
2025-07-31 07:44:30,117.35.241.92,9199924045,1101,DATA,16273440,162734406,TOWER_040,3518,"Dawnborough, Arizona",SID_00000003,,HTTP,COMPLETED
2025-08-07 17:55:36,9198954045,9199563158,0,SMS,159,131,TOWER_025,7051,"Teresaville, Indiana",SID_00000004,709876009528756,SMS-MT/MO,COMPLETED
2025-08-08 23:11:17,203.161.73.92,9199749114,613,DATA,9609571,96095719,TOWER_044,5564,"Jacksonport, Colorado",SID_00000005,,FTP,COMPLETED
2025-08-16 01:50:45,10.0.239.111,9199503208,5,VOICE,40326,39914,TOWER_011,4017,"North Paultown, Maryland",SID_00000006,771789351364993,H.323,BUSY
2025-08-22 22:23:58,172.16.48.196,10.0.116.118,2,DATA,79941,799418,TOWER_026,7761,"Cindyport, Virginia",SID_00000007,,HTTP,COMPLETED
2025-08-07 14:38:42,9199912586,9198839000,166,VOICE,1328981,1328824,TOWER_036,5713,"North Caitlinside, Michigan",SID_00000008,014640553524625,H.323,BUSY
2025-08-19 13:20:27,9199914877,9199674933,0,SMS,160,133,TOWER_050,3179,"New Tamarashire, Virginia",SID_00000009,261452283030734,SMS-MT/MO,COMPLETED
2025-08-02 05:04:17,9198868345,172.16.68.212,911,DATA,40472541,404725415,TOWER_039,5348,"Jillland, Georgia",SID_00000010,,FTP,COMPLETED
2025-08-18 05:48:44,9199381695,9199118260,75,VOICE,599003,599317,TOWER_013,6431,"South Tracybury, Iowa",SID_00000011,026185939304866,SIP,BUSY
2025-07-31 20:04:52,9199936884,9199152553,1773,DATA,23676642,236766420,TOWER_013,6431,"South Tracybury, Iowa",SID_00000012,,TCP,COMPLETED
2025-08-16 11:20:13,9199924045,9199981940,1439,DATA,7963138,79631382,TOWER_015,2152,"Jonestown, Washington",SID_00000013,,TCP,COMPLETED
